Date_statistics,Number of new cases,c1_school_closing,c2_workplace_closing,c3_cancel_public_events,c4_restrictions_on_gatherings,c5_close_public_transport,c6_stay_at_home_requirements,c7_movement_restriction,c8_international_travel,h1_public_information_campaigns,h2_testing_policy,h3_contact_tracing,h6_facial_coverings,h7_vaccination_policy,h8_protection_of_elderly_people
2020-08-05,619,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-06,582,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-07,616,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-08,528,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-09,517,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-10,611,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-11,565,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-12,598,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-13,548,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-14,530,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-15,508,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-16,438,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-17,507,1,2,0,2,0,1,0,3,2,2,2,2,0,1
2020-08-18,499,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-19,505,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-20,475,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-21,465,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-22,540,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-23,506,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-24,575,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-25,599,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-26,618,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-27,562,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-28,595,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-29,587,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-30,594,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-08-31,920,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-01,1000,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-02,960,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-03,972,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-04,1152,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-05,1228,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-06,1249,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-07,1565,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-08,1660,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-09,1650,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-10,1578,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-11,1794,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-12,1730,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-13,1808,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-14,2496,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-15,2426,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-16,2514,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-17,2518,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-18,2438,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-19,2485,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-20,2689,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-21,3412,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-22,3177,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-23,3213,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-24,3061,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-25,3355,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-26,3252,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-27,3436,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-28,4837,1,2,1,4,0,1,0,3,2,2,2,2,0,1
2020-09-29,4635,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-09-30,4922,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-01,5308,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-02,5729,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-03,5712,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-04,5436,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-05,7124,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-06,6611,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-07,6886,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-08,6792,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-09,7316,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-10,7531,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-11,6885,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-12,8943,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-13,8508,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-14,8902,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-15,8220,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-16,8692,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-17,8703,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-18,8052,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-19,9949,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-20,9814,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-21,9543,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-22,8914,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-23,9271,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-24,8739,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-25,8032,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-26,9103,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-27,8028,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-28,7640,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-29,6996,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-30,6767,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-10-31,6373,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-11-01,6146,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-11-02,6351,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-11-03,5917,1,2,2,4,0,1,1,3,2,2,2,2,0,1
2020-11-04,5739,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-05,5159,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-06,5278,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-07,4983,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-08,4779,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-09,5775,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-10,5367,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-11,5660,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-12,5092,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-13,5132,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-14,5107,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-15,4881,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-16,5848,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-17,5480,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-18,5257,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-19,4787,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-20,4851,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-21,4645,1,3,2,4,0,1,1,3,2,2,2,2,0,2
2020-11-22,4245,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-11-23,5376,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-11-24,4893,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-11-25,4843,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-11-26,4603,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-11-27,4907,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-11-28,4901,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-11-29,4729,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-11-30,6349,1,2,2,4,0,1,0,3,2,2,2,2,0,2
2020-12-01,6540,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-02,6698,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-03,6648,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-04,7136,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-05,7318,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-06,7406,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-07,9093,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-08,9621,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-09,9565,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-10,9271,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-11,9935,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-12,9991,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-13,9877,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-14,12433,1,2,2,4,0,1,0,3,2,2,1,2,0,2
2020-12-15,12199,1,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-16,11711,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-17,10935,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-18,10937,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-19,10494,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-20,9603,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-21,10892,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-22,10150,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-23,9082,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-24,8663,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-25,7699,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-26,7413,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-27,7952,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-28,9073,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-29,8301,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-30,7310,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2020-12-31,7018,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2021-01-01,6768,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2021-01-02,6991,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2021-01-03,7546,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2021-01-04,8355,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2021-01-05,7101,3,3,2,4,1,1,1,3,2,2,1,2,0,2
2021-01-06,6767,3,3,2,4,1,1,1,3,2,2,1,2,1,2
2021-01-07,6085,3,3,2,4,1,1,1,3,2,2,1,2,1,2
2021-01-08,5779,3,3,2,4,1,1,1,3,2,2,1,2,1,2
2021-01-09,5435,3,3,2,4,1,1,1,3,2,2,1,2,1,2
2021-01-10,5163,3,3,2,4,1,1,1,3,2,2,1,2,1,2
2021-01-11,6037,3,3,2,4,1,1,1,3,2,2,1,2,1,2
2021-01-12,6006,3,3,2,4,1,1,1,3,2,2,1,2,1,2
2021-01-13,5710,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-14,5075,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-15,5349,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-16,4876,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-17,4671,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-18,5570,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-19,5315,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-20,5319,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-21,4606,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-22,4569,3,3,2,4,1,1,1,3,2,2,1,2,1,0
2021-01-23,4238,3,3,2,4,1,2,1,3,2,2,1,2,1,2
2021-01-24,3844,3,3,2,4,1,2,1,3,2,2,1,2,1,2
2021-01-25,4479,3,3,2,4,1,2,1,3,2,2,1,2,1,2
2021-01-26,4162,3,3,2,4,1,2,1,3,2,2,1,2,1,2
2021-01-27,4301,3,3,2,4,1,2,1,3,2,2,1,2,1,2
2021-01-28,3847,3,3,2,4,1,2,1,3,2,2,1,2,1,2
2021-01-29,3825,3,3,2,4,1,2,1,3,2,2,1,2,1,2
2021-01-30,3553,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-01-31,3391,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-01,4067,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-02,3855,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-03,3851,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-04,3627,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-05,3618,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-06,3297,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-07,2971,3,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-08,3477,2,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-09,3851,2,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-10,3628,2,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-11,3503,2,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-12,3459,2,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-13,3370,2,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-14,3490,2,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-15,4058,2,3,2,4,1,2,1,3,2,2,1,2,2,2
2021-02-16,3651,2,3,2,4,1,2,1,3,2,2,1,2,2,2
